Headline,Date,Link,description
"Russia scales down celebrations honoring its navy as Ukraine
                                                        launches more drone attacks",16 minutes ago,https://www.africanews.com/2025/07/28/russia-scales-down-celebrations-honoring-its-navy-as-ukraine-launches-more-drone-attacks/,"Russia on Sunday scaled down festivities honoring its navy
                                                        citing security concerns as continuing Ukrainian drone attacks
                                                        posed a challenge to ..."
"Relief and frustration in Europe as US-EU trade deal agrees 15%
                                                        tariff on most European exports",1 hour ago,https://www.africanews.com/2025/07/28/relief-and-frustration-in-europe-as-us-eu-trade-deal-agrees-15-tariff-on-most-european-exp/,"The US and EU have agreed a framework for a trade deal, bringing
                                                        relief that a transatlantic trade war has been averted but
                                                        frustration for many ..."
"Coalition led by paramilitary RSF forms parallel government in
                                                        Sudan",27/07 - 12:25,https://www.africanews.com/2025/07/27/coalition-led-by-paramilitary-rsf-forms-parallel-government-in-sudan/,"The news raises concerns of further divisions in the country
                                                        that could prolong the devastating civil war."
Increasing number of African Americans relocating to Africa,26/07 - 16:32,https://www.africanews.com/2025/07/26/increasing-number-of-african-americans-relocating-to-africa/,"Those who've made the move describe the need to connect with
                                                        their history and find a better life."
"New law to punish Russians who search online for
                                                        'extremist' content",26/07 - 14:35,https://www.africanews.com/2025/07/26/new-law-to-punish-russians-who-search-online-for-extremist-content/,"The official definition of extremist activity is extremely broad
                                                        and includes opposition groups and the “international LGBT
                                                        movement”."
DR Congo: M23 threatens to boycott peace process over prisoners,26/07 - 09:01,https://www.africanews.com/2025/07/26/dr-congo-m23-threatens-to-boycott-peace-process-over-prisoners/,"The militant group says Kinshasa is being slow to release its
                                                        members ahead of the resumption of talks in Doha on 8 August."
Twisted Metal returns for season two with more chaos and carnage,25/07 - 18:44,https://www.africanews.com/2025/07/25/twisted-metal-returns-for-season-two-with-more-chaos-and-carnage/,"Twisted Metal is back with a second season, promising even more
                                                        explosive action, outrageous characters, and high-octane
                                                        destruction. The hit ..."
"Protesters in Jaffa demand humanitarian aid for Gaza, end to war",25/07 - 18:43,https://www.africanews.com/2025/07/25/protesters-in-jaffa-demand-humanitarian-aid-for-gaza-end-to-war/,"As the war nears its 22nd month, international pressure is
                                                        growing for a ceasefire and unrestricted access to aid."
"Hulk Hogan, wrestling superstar, dies at 71 in Florida",25/07 - 16:26,https://www.africanews.com/2025/07/25/hulk-hogan-wrestling-superstar-dies-at-71-in-florida/,"Hulk Hogan, the iconic figure of professional wrestling known
                                                        for his mustache, headscarf, and impressive biceps, who
                                                        transformed the sport into ..."
'Food colonialism': Nigeria divided over GMO crops,25/07 - 15:16,https://www.africanews.com/2025/07/25/food-colonialism-nigeria-divided-over-gmo-crops/,ngnwfgn
"San Diego comic-con: a sneak peek into pop culture's
                                                        biggest event",25/07 - 13:58,https://www.africanews.com/2025/07/25/san-diego-comic-con-a-sneak-peek-into-pop-cultures-biggest-event/,"Comic-Con International 2025 officially begins on Thursday, but
                                                        eager attendees got a sneak preview on Wednesday at the San
                                                        Diego Convention ..."
"Putin announces plans to modernise Russian navy, which has lost
                                                        30% of warships to Kyiv",25/07 - 12:37,https://www.africanews.com/2025/07/25/putin-announces-plans-to-modernise-russian-navy-which-has-lost-30-of-warships-to-kyiv/,"At a ceremony in Severodvinsk in Russia’s northwestern
                                                        Archangelsk region, the Russian president oversaw the raising of
                                                        the flag on a newly-constructed ..."
"Dominicans protest government’s plan to regularize Haitian
                                                        immigrants",25/07 - 16:18,https://www.africanews.com/2025/07/25/dominicans-protest-governments-plan-to-regularize-haitian-immigrants/,"Officials say over 80,000 Haitian students have entered the
                                                        public school system in recent years, and that Haitian women
                                                        make up the majority ..."
"Ahead of hosting FIFA World Cup: Morocco to modernise airports
                                                        for $4.2 billion",25/07 - 11:03,https://www.africanews.com/2025/07/25/ahead-of-hosting-fifa-world-cup-morocco-to-modernise-airports-for-42-billion/,"As one of the co-hosts of the major football tournament, Morocco
                                                        has announced that it would expand and modernise its airports
                                                        before the World ..."
"IMF lauds Senegal for strengthening economy, amending debt
                                                        position",25/07 - 08:33,https://www.africanews.com/2025/07/25/imf-lauds-senegal-for-strengthening-economy-amending-debt-position/,"Senegal recently became a major headache for the International
                                                        Monetary Fund (IMF), after the country uncovered billions of
                                                        dollars of debt that ..."
"Togo protests erupt after Constitutional changes extend Faure
                                                        Gnassingbé’s grip on power",24/07 - 21:44,https://www.africanews.com/2025/07/24/togo-protests-erupt-after-constitutional-changes-extend-faure-gnassingbes-grip-on-power/,"Protests are set to continue in Togo this Friday, following the
                                                        government's adoption of a new constitution that allows
                                                        long-time leader Faure ..."
"Syria and Saudi Arabia sign multi-billion dollar investment
                                                        deals",24/07 - 17:45,https://www.africanews.com/2025/07/24/syria-and-saudi-arabia-sign-multi-billion-dollar-investment-deals/,"Syria and Saudi Arabia have signed dozens of investment
                                                        agreements aimed at revitalizing Syria’s war-torn economy. The
                                                        deals, announced at the ..."
"DRC: trial resumes for former Minister Constant Mutamba in
                                                        embezzlement case",24/07 - 17:15,https://www.africanews.com/2025/07/24/drc-trial-resumes-for-former-minister-constant-mutamba-in-embezzlement-case/,"In the Democratic Republic of the Congo, the trial of the former
                                                        Minister of Justice resumed on July 23 before the Court of
                                                        Appeal."
"Russia expands military footprint in Sahel with shift from
                                                        Wagner to state-controlled Africa Corps",24/07 - 16:52,https://www.africanews.com/2025/07/24/russia-expands-military-footprint-in-sahel-with-shift-from-wagner-to-state-controlled-afri/,"A new report from the Timbuktu Institute sheds light on Russia’s
                                                        latest move in the Sahel. The transition from the shadowy Wagner
                                                        Group to a ..."
"U.S. fertility rate hits record low in 2024, sparking concern
                                                        and debate",24/07 - 17:40,https://www.africanews.com/2025/07/24/us-fertility-rate-hits-record-low-in-2024-sparking-concern-and-debate/,"Demographers say the trend reflects a long-term delay in
                                                        childbearing, not a population crisis. But the gap between
                                                        policy and reality continues ..."
"Pix of the Day: July 24, 2025",24/07 - 15:59,https://www.africanews.com/2025/07/24/pix-of-the-day-july-24-2025/,"Africanews focuses on the most striking images of the day's
                                                        news."
"Benin appoints Spike Lee and wife as Ambassadors to
                                                        Afro-Descendants in the U.S.",24/07 - 16:08,https://www.africanews.com/2025/07/24/benin-appoints-spike-lee-and-wife-as-ambassadors-to-afro-descendants-in-the-us/,"Benin’s President has appointed Spike Lee and his wife, Tonya
                                                        Lewis Lee, as thematic ambassadors to the Afro-descendant
                                                        diaspora in the United ..."
"WATCH: Ukrainians protest for second day over anti-corruption
                                                        law",24/07 - 14:59,https://www.africanews.com/2025/07/24/watch-ukrainians-protest-for-second-day-over-anti-corruption-law/,"Thousands of Ukrainians rallied for a second day in Kyiv and
                                                        Lviv, protesting a controversial new law they say threatens the
                                                        independence of ..."
"Human Rights Watch call on Niger's Junta to release former
                                                        President, Mohamed Bazoum",24/07 - 14:36,https://www.africanews.com/2025/07/24/human-rights-watch-call-on-nigers-junta-to-release-former-president-mohamed-bazoum/,"HRW is urging Niger's ruling junta to release Mohamed Bazoum,
                                                        who has been detained in the presidential palace since his
                                                        leadership was toppled ..."
"What’s in the Epstein files? Trump’s alleged involvement fuels
                                                        political storm",24/07 - 12:50,https://www.africanews.com/2025/07/24/whats-in-the-epstein-files-trumps-alleged-involvement-fuels-political-storm/,"The Wall Street Journal published a report on Wednesday saying
                                                        that Trump was told by the US Attorney General in May that his
                                                        name appeared in ..."
"Rwanda: Kagame sacks PM, appoints banker instead",24/07 - 11:08,https://www.africanews.com/2025/07/24/rwanda-kagame-sacks-pm-appoints-banker-instead/,"Edouard Ngirente's term in office as prime minister of Rwanda
                                                        abruptly came to an end on Wednesday, when president Paul Kagame
                                                        fired him. Ngirente ..."
"Klaipėda’s elderly residents discover bodyboarding on the Baltic
                                                        coast",24/07 - 10:32,https://www.africanews.com/2025/07/24/klaipedas-elderly-residents-discover-bodyboarding-on-the-baltic-coast/,"In Klaipėda, Lithuania, older and disabled residents are taking
                                                        part in bodyboarding sessions in the Baltic Sea, as part of a
                                                        new summer initiative ..."
Where is the civil war in Sudan heading?,24/07 - 07:53,https://www.africanews.com/2025/07/24/where-is-the-civil-war-in-sudan-heading/,"More than two years of conflict, a death toll ranging from
                                                        60,000 to 150,000 according to different sources, and a divided
                                                        country: Sudan's civil ..."
"Failure to tackle climate change could be a violation of
                                                        international law, UN court finds",23/07 - 18:47,https://www.africanews.com/2025/07/23/failure-to-tackle-climate-change-could-be-a-violation-of-international-law-un-court-finds/,"Nations failing to tackle climate change could violate
                                                        international law, the United Nations’ top court said on
                                                        Wednesday, and the consequences ..."
"Kenya's debt costs to remain high as government relies on
                                                        local borrowing, Moody's says",23/07 - 16:41,https://www.africanews.com/2025/07/23/kenyas-debt-costs-to-remain-high-as-government-relies-on-local-borrowing-moodys-says/,"Kenya's cost of servicing its debts is expected to remain
                                                        stubbornly high, ratings agency Moody's said on Wednesday, as
                                                        the government leans ..."
